100 4950
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,1122,
144,
145,
146,
147,
148,1706,
149,
150,
151,
152,
153,
154,
155,
156,1143,2682,
157,2374,1846,
158,5586,1282,
159,1564,2302,
160,
161,1112,1141,
162,
163,1952,1804,1180,
164,2435,1521,
165,3472,
166,1275,2025,1715,
167,1856,2422,
168,893,1753,1250,1914,
169,849,2241,
170,1563,1891,1718,
171,1578,2700,2115,
172,1610,948,1394,1114,
173,1304,2754,2546,2011,917,
174,1583,
175,1134,1190,
176,968,1299,1053,1616,1413,
177,1455,1691,974,1526,1050,
178,1360,1493,2165,1694,2198,
179,1089,1850,3259,818,959,
180,1092,2447,3495,2377,2329,
181,2128,1369,1137,2015,1433,
182,3590,673,1434,1002,1198,
183,2972,725,1254,1818,
184,1777,1282,920,2237,969,
185,1791,957,1547,2978,
186,2050,2493,1779,2179,1556,
187,1373,3233,2692,1450,1288,
188,978,1503,3538,1949,1415,
189,1461,3473,3527,2409,1614,
190,2373,1588,601,1935,1753,
191,2005,985,1631,1018,1760,
192,974,1881,1312,1171,1127,
193,1509,1520,1518,1170,1024,
194,2466,1309,1793,1430,2266,
195,917,2300,2593,959,2703,
196,847,801,1449,1226,1485,
197,2586,1527,1118,734,2165,
198,4221,1920,2144,1819,1791,
199,1180,1161,1661,1496,1435,
200,1492,1119,1364,4698,1142,
201,1194,1728,1366,1524,2214,
202,1084,1344,2022,2223,2598,
203,864,1679,1061,1796,2301,
204,1205,1366,1122,814,814,
205,1957,1446,1526,1554,945,
206,3278,1875,1723,1589,1479,
207,1601,1857,1452,1753,1299,
208,1494,1656,873,3007,1885,
209,2791,1268,1081,832,1856,
210,2357,6130,2061,1595,1315,
211,1478,1021,2441,964,892,
212,937,1418,1845,1356,1874,
213,1209,1262,2524,1702,1173,
214,3436,959,2183,1323,2487,
215,1925,1977,1877,803,1039,
216,2097,1906,4086,756,1029,
217,1030,1481,1432,1172,2075,
218,3533,1163,1116,1473,1090,
219,2059,2903,1052,1316,2058,
220,880,941,1540,1842,581,
221,1028,1321,1610,679,1955,
222,1270,2544,767,1687,1126,
223,1379,2691,987,1405,3460,
224,1930,1280,2271,1945,1276,
225,1453,848,1080,1601,1874,
226,768,2950,1879,2023,2042,
227,3117,1235,1249,798,733,
228,1527,1131,1464,875,1995,
229,772,847,1420,1725,1630,
230,1000,923,1592,1285,701,
231,6368,1717,2064,910,1030,
232,1619,1923,806,2731,2086,
233,827,1761,898,1338,1645,
234,1055,1708,3709,1231,2529,
235,1304,1146,2170,1234,1728,
236,2318,802,814,1580,2275,
237,1469,2660,1597,1821,755,
238,1550,1371,579,632,1504,
239,1331,2497,1316,1264,1151,
240,1405,2212,1368,981,1070,
241,909,1830,1411,990,2967,
242,1297,1132,929,2487,567,
243,1102,1617,1850,1833,1390,
244,1563,2024,801,955,1207,
245,927,708,1010,857,1086,
246,984,634,1419,3089,1855,
247,2613,656,2406,831,1480,
248,1457,684,1012,906,722,
249,1601,1492,1482,700,2015,
250,3295,3046,1151,970,1819,
251,973,1015,2947,1145,1325,
252,817,578,893,1260,2159,
253,1524,1676,1619,1354,1637,
254,1712,1113,600,743,1784,
255,776,1996,873,1113,1474,
256,2534,3440,1858,1425,776,
257,2312,1354,3347,1176,705,
258,1922,1584,1000,2311,907,
259,871,1582,1139,1221,1269,
260,763,691,964,811,1804,
261,1847,1220,849,1375,1754,
262,1172,1304,1271,639,2395,
263,1280,997,1681,1155,2611,
264,699,1927,1070,1698,534,
265,2006,2215,1229,919,1050,
266,985,1840,716,1416,1475,
267,1525,1267,3121,993,774,
268,1377,1839,853,1096,1654,
269,2674,878,1912,975,1386,
270,1655,887,1320,1161,1165,
271,4728,935,623,1133,874,
272,1927,616,2801,1029,1172,
273,1301,742,743,1937,1182,
274,1024,1124,1226,2459,1056,
275,977,1454,898,1194,993,
276,762,2381,861,724,911,
277,2099,1147,2591,1452,1940,
278,1088,860,839,828,2663,
279,793,531,1056,741,1186,
280,833,1382,937,3441,2128,
281,1431,741,3439,770,911,
282,1150,693,847,1671,856,
283,1112,550,799,1928,1014,
284,2648,901,775,1729,2838,
285,3505,611,1010,562,907,
286,765,801,1950,793,1577,
287,1556,818,1142,1144,1117,
288,1991,1021,1386,1374,850,
289,1222,2092,1844,687,1466,
290,1523,719,993,547,1322,
291,966,1489,763,919,702,
292,941,1441,1833,2624,647,
293,1270,1312,776,523,822,
294,2040,1948,2036,956,838,
295,1848,1586,959,1097,834,
296,951,698,2929,1127,1052,
297,756,1486,1119,793,931,
298,1379,1420,1040,708,1119,
299,3115,969,708,881,3395,
300,1776,1281,1084,4212,1415,
301,564,745,1191,1426,815,
302,950,674,1889,701,646,
303,2094,2493,837,2250,1398,
304,572,1557,847,1897,2017,
305,3790,815,3617,765,1388,
306,1589,2378,1219,1281,1113,
307,1415,822,1456,837,1456,
308,1408,3387,1221,855,1023,
309,1488,771,964,796,1003,
310,690,688,1128,523,967,
311,2520,1157,1102,705,633,
312,950,936,724,743,807,
313,4950,718,721,702,1203,
314,793,1291,549,1050,1490,
315,655,1628,594,1090,685,
316,1563,1305,748,926,1103,
317,598,728,2385,755,925,
318,2550,533,950,983,1337,
319,661,727,715,1118,991,
320,649,744,647,1028,1310,
321,891,991,1170,2336,770,
322,768,958,545,3944,732,
323,2607,926,580,2221,562,
324,513,773,691,1438,509,
325,1027,2007,3358,1133,1800,
326,1375,1103,1922,1360,1222,
327,756,1339,963,1775,1269,
328,1860,863,480,991,1388,
329,935,616,702,872,1111,
330,1320,972,1058,1069,500,
331,1025,831,737,758,4019,
332,851,1051,1368,1608,748,
333,864,1093,811,872,2554,
334,695,888,1356,1770,1087,
335,1174,1577,955,834,801,
336,1660,965,1240,908,858,
337,810,524,637,2746,1728,
338,692,1563,963,1010,908,
339,3166,840,954,860,1252,
340,979,1870,1024,839,3331,
341,1050,1004,1063,879,867,
342,1191,767,1458,1347,865,
343,820,782,623,618,869,
344,2073,1174,591,447,752,
345,3144,1150,1159,810,632,
346,548,1276,2905,708,596,
347,827,942,676,992,998,
348,804,1257,1220,1083,1541,
349,968,599,669,1577,2221,
350,1250,699,741,1078,1816,
351,1392,552,605,616,1601,
352,806,1002,851,2164,1896,
353,1640,1766,1199,713,1008,
354,539,1492,870,685,738,
355,564,622,2039,920,1228,
356,869,642,722,750,907,
357,2110,777,895,1141,1079,
358,689,1246,1237,485,794,
359,1346,695,1605,807,584,
360,834,3168,860,1280,1357,
361,1090,935,1634,1058,1575,
362,785,687,726,529,932,
363,591,559,1170,1473,645,
364,798,890,661,925,503,
365,1591,972,2542,2400,1088,
366,1044,1300,545,1660,523,
367,658,1296,2669,1243,652,
368,843,764,1274,650,831,
369,1113,565,692,1329,1379,
370,927,1243,964,749,829,
371,821,1294,915,693,1325,
372,703,518,974,2008,740,
373,1158,3089,1158,866,870,
374,1249,1052,874,723,628,
375,1084,1103,999,872,750,
376,1588,470,666,2247,1298,
377,1260,1218,977,509,1712,
378,614,515,989,1305,1168,
379,4881,698,1001,1107,1390,
